Nr;Addresse;Gebaeudebezeichnung;Plz;Nettoflaeche;Denkmal;Prio;Einsparen;Kosten
30216010;Ruppiner Chaussee 240,268;Halle 10;13503;602;ja ;768;> 60%;874406
30007003;Alt-Friedrichsfelde 60;Haus 03;10315;11065;nein ;769;20-30%;8713398
30224001;Alt-Karow 10,11;Haus 01;13125;1580;ja ;770;10-20%;338566
30212001;Poelchaustr. 1;Haus 01;12681;4776;nein ;771;30-40%;2789834
30249002;Invalidenstr. 57,58;Haus 02;10557;4629;nein ;772;50-60%;3309678
30274002;Segelfliegerdamm 42;Haus 02;12487;798;nein ;773;50-60%;903730
30189001;Berliner Allee 210;Haus 01;13088;7297;nein ;774;40-50%;3774873
30216009;Ruppiner Chaussee 240,268;Halle 09;13503;452;ja ;775;50-60%;487854
30212002;Poelchaustr. 1;Haus 02;12681;2363;nein ;776;40-50%;1683497
30423006;Fritz-Lesch-Str. 35;Haus 04;13053;2238;nein ;777;20-30%;1065015
30216016;Ruppiner Chaussee 240,268;Halle 16;13503;294;ja ;778;40-50%;318572
30007016;Alt-Friedrichsfelde 60;Haus 14;10315;779;nein ;779;10-20%;150622
30033001;Brodauer Str. 16-22;Haus 01;12621;1865;nein ;780;30-40%;1400915
30216001;Ruppiner Chaussee 240,268;Halle 01;13503;358;ja ;781;50-60%;461196
30187001;Baumschulenstr. 1;Haus 01;12437;1113;nein ;782;20-30%;1451567
30349005;Friedrich-Olbricht-Damm 16;Pforte I ;13627;466;ja ;783;30-40%;186611
30030002;Belziger Str. 52-58;Haus 02;10823;10466;ja ;784;40-50%;4533313
30075017;Turmstr. 21;Haus R ;10559;1884;ja ;785;50-60%;738446
30384001;Kiefheider Weg 72;Haus 01;13508;1390;nein ;786;30-40%;813091
30195013;Friesenstr. 16;Haus 07a;10965;309;ja ;787;20-30%;110634
30216013;Ruppiner Chaussee 240,268;Halle 13;13503;445;ja ;788;50-60%;479857
30216011;Ruppiner Chaussee 240,268;Halle 11;13503;937;ja ;789;50-60%;1210305
30005002;Albrecht-Achilles-Str. 61 - 64;Haus 02;10709;10678;ja ;790;10-20%;2484591
30191001;Brunnenstr. 175;Haus 01;10119;6153;nein ;791;40-50%;3116403
30216008;Ruppiner Chaussee 240,268;Halle 08;13503;443;ja ;792;50-60%;469193
30216018;Ruppiner Chaussee 240,268;Halle 18;13503;456;ja ;793;50-60%;490520
30426010;Scharfenberg (Insel);Haus 10;13505;421;ja ;794;40-50%;334567
30351008;Friedrich-Olbricht-Damm 40;Turnhalle ;13627;460;nein ;795;40-50%;651805
30349015;Friedrich-Olbricht-Damm 16;Haus 04;13627;2882;nein ;796;20-30%;1624848
30349004;Friedrich-Olbricht-Damm 16;AGST I a ;13627;903;ja ;797;30-40%;271919
30172002;Reinickendorfer Str. 15a-15c;Haus 02;13347;420;nein ;798;> 60%;503850
30143002;Alt-Biesdorf 58;Haus 02;12683;428;nein ;799;> 60%;367890
30351014;Friedrich-Olbricht-Damm 40;Gärtnerei ;13627;661;nein ;800;40-50%;763772
30211005;Pionierstr. 160,204;Haus 04;13589;381;nein ;801;> 60%;285248
30193025;Cecilienstr. 92;Haus 20;12683;263;nein ;802;50-60%;195941
30437003;Schumannstr. 11-14 A;Haus 03;10117;2972;ja ;803;20-30%;638476
30117001;Nauener Str. 13;Haus 01;13581;856;nein ;804;50-60%;1111668
30426017;Scharfenberg (Insel);Haus 17;13505;478;ja ;805;40-50%;394549
30216044;Ruppiner Chaussee 240,268;Haus 15;13503;1199;ja ;806;40-50%;442535
30422002;Fischerstr. 36;Haus 02;10317;986;ja ;807;50-60%;1176982
30435001;Pariser Platz 8;Brandenburger Tor ;10709;1816;ja ;808;10-20%;365224
30426023;Scharfenberg (Insel);Haus 23;13505;604;ja ;809;40-50%;195941
30264002;Oderberger Str. 24,25;Haus 02;10435;328;ja ;810;40-50%;215936
30445009;Breite Str. 30-37;Haus 08;10178;1700;ja ;811;40-50%;814423
30251002;Josef-Orlopp-Str. 69;Haus 02;10365;607;nein ;812;50-60%;793097
30143001;Alt-Biesdorf 58;Haus 01;12683;395;ja ;813;30-40%;158619
30235001;Edinburger Str. 7;Haus 01;13349;3923;ja ;814;20-30%;1073013
30193024;Cecilienstr. 92;Haus 19;12683;898;nein ;815;40-50%;811758
30193021;Cecilienstr. 92;Haus 17;12683;1051;nein ;816;50-60%;518512
30175001;Johannisthaler Chaussee 222;Haus 01;12351;2685;nein ;817;20-30%;2120700
30240002;Betckestr. 13;Haus 02;13595;259;nein ;818;> 60%;349229
30426012;Scharfenberg (Insel);Haus 12;13505;434;ja ;819;40-50%;290580
30172001;Reinickendorfer Str. 15a-15c;Haus 01;13347;4625;nein ;820;20-30%;2768507
30007020;Alt-Friedrichsfelde 60;Haus 18;10315;7436;nein ;821;30-40%;4594628
30467006;Zum Heckeshorn 30;Haus D ;14109;9373;nein ;822;50-60%;4877210
30467005;Zum Heckeshorn 30;Haus C ;14109;7761;nein ;823;50-60%;3976146
30426011;Scharfenberg (Insel);Haus 11;13505;447;ja ;824;40-50%;383885
30193015;Cecilienstr. 92;Haus 11;12683;9393;nein ;825;40-50%;5346404
30213006;Radelandstr. 21;Haus 06;13589;2256;nein ;826;30-40%;2724520
30426013;Scharfenberg (Insel);Haus 13;13505;431;ja ;827;40-50%;398548
30196003;Gallwitzallee 87,95;Haus 03;12249;461;nein ;828;> 60%;743778
30179002;Voltairestr. 2;Haus 02;10179;1007;nein ;829;50-60%;875739
30173002;Roedernallee 55;Haus 02;13437;280;nein ;830;> 60%;426539
30268001;Paulsternstr. 34;Haus 01;13629;881;nein ;831;20-30%;514513
30007019;Alt-Friedrichsfelde 60;Haus 17;10315;4258;nein ;832;30-40%;3320342
30219001;Wassersportallee 56,58;Haus 01;12527;2397;nein ;833;40-50%;1510216
30467007;Zum Heckeshorn 30;Haus E ;14109;4713;nein ;834;40-50%;2785835
30426016;Scharfenberg (Insel);Haus 16;13505;464;ja ;835;30-40%;359893
30258001;Kummerower Ring 80;Haus 01;12619;1847;nein ;836;10-20%;1566199
30207003;Magazinstr. 5;Haus 03;10179;1236;ja ;837;50-60%;1006366
30007009;Alt-Friedrichsfelde 60;Haus 07;10315;822;nein ;838;40-50%;729116
30467013;Zum Heckeshorn 30;Haus F ;14109;2485;nein ;839;> 60%;1436904
30400005;Birkenstr. 11;Haus 05;12559;1606;nein ;840;20-30%;1018363
30474001;Bundesallee 171;Haus 01;10715;19200;nein ;841;50-60%;9245239
30192003;Bulgarische Str. 55;Haus 03;12435;315;nein ;842;50-60%;267920
30400004;Birkenstr. 11;Haus 04;12559;328;nein ;843;50-60%;247926
30212003;Poelchaustr. 1;Haus 03;12681;1425;nein ;844;30-40%;1150323
30193006;Cecilienstr. 92;Haus 05;12683;5330;nein ;845;50-60%;3992141
30267001;Parkstr. 38-39;Haus 01;13086;4131;ja ;846;30-40%;1120999
30495001;Staakener Str. 79;Haus 01;13583;1856;nein ;847;50-60%;1444902
30168007;Nikolaus-Groß-Weg 2;Haus 07;13627;5411;nein ;848;30-40%;2833821
30480004;Otto-Braun-Str. 70-72;BT D ;10178;13526;nein ;849;50-60%;7069889
30480001;Otto-Braun-Str. 70-72;BT A ;10178;10596;nein ;850;50-60%;5656978
30503001;Derfflinger Str. 7,8;Haus 01;10785;14066;nein ;851;40-50%;7653715
30276002;Sewanstr. 262;Garage ;10319;631;nein ;852;50-60%;813091
30496002;Kirchhainer Damm 74;Haus 02;12309;2989;nein ;853;50-60%;1648841
30193029;Cecilienstr. 92;Haus 24;12683;268;nein ;854;> 60%;390550
30462017;Seidelstr. 39;30;13507;4619;nein ;855;20-30%;1095673
30189002;Berliner Allee 210;Haus 02;13088;278;nein ;856;50-60%;246593
30216030;Ruppiner Chaussee 240,268;Haus 01 M;13503;533;ja ;857;40-50%;171949
30441005;Genslerstr. 66;Haus 05;13055;843;ja ;858;30-40%;522511
30208005;Mertensstr. 140;Haus 05;13587;348;nein ;859;> 60%;258589
30496004;Kirchhainer Damm 74;Haus 04;12309;2148;nein ;860;40-50%;1239630
30228002;Berliner Str. 16;Haus 02;13507;425;nein ;861;> 60%;438536
30462040;Seidelstr. 39;29;13507;2598;nein ;862;20-30%;694459
30493002;Carola-Neher-Str. 65 / Maxie-Wander-Str. 78;Haus 02;12619;3644;nein ;863;20-30%;1752810
30245003;Idastr. 6;Haus 03;13156;457;nein ;864;30-40%;577161
30216031;Ruppiner Chaussee 240,268;Haus 01 R;13503;578;ja ;865;40-50%;225266
30496001;Kirchhainer Damm 74;Haus 01;12309;1471;nein ;866;50-60%;943718
30480002;Otto-Braun-Str. 70-72;BT B ;10178;7211;nein ;867;50-60%;4366696
30220003;Wedekindstr. 10;Haus 03;10243;3595;ja ;868;40-50%;1242296
30496003;Kirchhainer Damm 74;Haus 03;12309;707;nein ;869;> 60%;510514
30480003;Otto-Braun-Str. 70-72;BT C ;10178;7055;nein ;870;50-60%;4376027
30157001;Hausvaterweg 16;Haus 01;13057;1607;nein ;871;20-30%;1380921
30242002;Hadlichstr. 37;Haus 02;13187;711;nein ;872;30-40%;966378
30220004;Wedekindstr. 10;Haus 04;10243;2826;ja ;873;40-50%;994370
30168006;Nikolaus-Groß-Weg 2;Haus 06;13627;2683;nein ;874;20-30%;570496
30007018;Alt-Friedrichsfelde 60;Haus 16;10315;2713;nein ;875;40-50%;3378991
30467003;Zum Heckeshorn 30;Haus U ;14109;1852;nein ;876;40-50%;1356928
30467004;Zum Heckeshorn 30;Haus V ;14109;1689;nein ;877;40-50%;1256958
30477011;WRD Feuerwehr SILB;30304 - Haus 01;14129;263;nein ;878;> 60%;194609
30494001;Alt-Moabit 82 B;Haus 01;10555;2938;nein ;879;20-30%;1089008
30455002;Turmstr. 86;Haus 02;10559;1186;ja ;880;40-50%;474525
30176001;Schieritzstr. 24,26;Haus 01;10409;1077;nein ;881;10-20%;941052
30455001;Turmstr. 86;Haus 01;10559;5944;ja ;882;30-40%;2130031
30454007;Ernst-Stargardt-Allee 1;Haus 07;14979;11917;nein ;883;10-20%;4705262
30192002;Bulgarische Str. 55;Haus 02;12435;274;nein ;884;40-50%;391883
30360001;Gendarmenmarkt 1-2;Haus 01;10117;6158;ja ;885;10-20%;1148990
30474003;Bundesallee 171;Haus 03;10715;2211;nein ;886;50-60%;1274286
30211006;Pionierstr. 160,204;Haus ABC ;13589;398;nein ;887;> 60%;309241
30472003;Fröbelstr. 17;Haus 04;10405;1995;ja ;888;30-40%;533174
30461021;Alt-Moabit 12a;Haus 21;10559;431;nein ;889;10-20%;83975
30212004;Poelchaustr. 1;Haus 04;12681;1419;nein ;890;20-30%;1776803
30405005;Goldbeckweg 8-14;Haus 05;13599;282;nein ;891;30-40%;129295
30488003;Wolfgang-Heinz-Str. 45 A-G;Haus 03;13125;5752;nein ;892;10-20%;1639510
30356002;Müllerstr. 147;Haus 02;13353;389;ja ;893;10-20%;75977
30490002;Paul-Schwenk-Str. 3,5,7,9,11,13,15;Haus 02;12685;5752;nein ;894;10-20%;1639510
30493001;Carola-Neher-Str. 65 / Maxie-Wander-Str. 78;Haus 01;12619;3678;nein ;895;10-20%;2360628
30454001;Ernst-Stargardt-Allee 1;Haus 01;14979;6315;nein ;896;10-20%;1778136
30454003;Ernst-Stargardt-Allee 1;Haus 03;14979;6315;nein ;897;10-20%;1778136
30454002;Ernst-Stargardt-Allee 1;Haus 02;14979;6315;nein ;898;10-20%;1778136
30419002;Schillerstr. 120;Haus 02;10625;3336;nein ;899;20-30%;1591525
30503003;Derfflinger Str. 7,8;Haus 03;10785;884;ja ;900;40-50%;325236
30194070;Charlottenburger Chaussee 67,75;Haus 25;13597;2395;nein ;901;10-20%;461196
30454009;Ernst-Stargardt-Allee 1;Haus 09;14979;2854;nein ;902;10-20%;679797
30454004;Ernst-Stargardt-Allee 1;Haus 04;14979;2564;nein ;903;10-20%;519845
30027002;Am Köllnischen Park 3;Haus 02;10179;4970;nein ;904;50-60%;2697861
30454008;Ernst-Stargardt-Allee 1;Haus 08;14979;2368;nein ;905;10-20%;497185
30194072;Charlottenburger Chaussee 67,75;Haus 26;13597;1972;nein ;906;10-20%;377221
30437005;Schumannstr. 11-14 A;Haus 05;10117;4126;ja ;907;20-30%;1414244
30216067;Ruppiner Chaussee 240,268;Haus 20;13503;824;nein ;908;20-30%;206605
30491003;Wittenberger Str. 16, 16 A-C, 18, 18 A-B;Haus 03;12689;4308;nein ;909;10-20%;1256958
30491002;Wittenberger Str. 16, 16 A-C, 18, 18 A-B;Haus 02;12689;4308;nein ;910;10-20%;1256958
30489003;Wartenberger Str. 120, 120 A-F;Haus 03;13053;4308;nein ;911;10-20%;1256958
30489002;Wartenberger Str. 120, 120 A-F;Haus 02;13053;4308;nein ;912;10-20%;1256958
30007017;Alt-Friedrichsfelde 60;Haus 15;10315;379;nein ;913;20-30%;447866
30485002;Albert-Kuntz-Str. 61,63,65,67,69,71,73;Haus 02;12627;4308;nein ;914;10-20%;1439570
30485003;Albert-Kuntz-Str. 61,63,65,67,69,71,73;Haus 03;12627;4308;nein ;915;10-20%;1439570
30454006;Ernst-Stargardt-Allee 1;Haus 06;14979;1616;nein ;916;10-20%;362558
30487003;Rudolf-Leonhard-Str. 13, 13 A-F;Haus 03;12679;4308;nein ;917;10-20%;1256958
30487002;Rudolf-Leonhard-Str. 13, 13 A-F;Haus 02;12679;4308;nein ;918;10-20%;1256958
30145001;Blenheimstr. 65,67;Haus 01;12685;1049;ja ;919;10-20%;691793
30483002;Leonorenstr. 33 B;MUF 02 - 33 C-E;12247;3453;nein ;920;10-20%;1009032
30483003;Leonorenstr. 33 B;MUF 03 - 33 F-H;12247;3453;nein ;921;10-20%;1009032
30454010;Ernst-Stargardt-Allee 1;Haus 10;14979;1456;nein ;922;10-20%;438536
30499001;Klosterstr. 71;Haus 01;10179;4982;nein ;923;20-30%;2236665
30497001;Storkower Str. 139 C;Haus 01;10407;5283;nein ;924;20-30%;3308345
30450001;Gatower Str. 333;Haus 01;14089;844;nein ;925;10-20%;187944
30488002;Wolfgang-Heinz-Str. 45 A-G;Haus 02;13125;2875;nein ;926;10-20%;875739
