Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30373001;Kantstr. 12 A ;Haus 01 ;10623;3.682;ja;196;40-50%;1.074.346
30210003;Pankstr. 28;Haus 02 ;13357;4.548;nein;197;50-60%;2.103.372
30216033;Ruppiner Chaussee 240,268;Haus 03 ;13503;5.805;ja;198;40-50%;2.343.300
30075006;Turmstr. 21;Haus G ;10559;2.421;ja;199;20-30%;491.853
30379004;Ollenhauerstr. 128;Haus 04 ;13403;534;nein;200;> 60%;469.193
30085002;Invalidenstr. 52;Haus 02 ;10557;7.196;nein;201;50-60%;3.602.924
30052001;Mohriner Allee 137;Haus 01 ;12347;2.979;nein;202;40-50%;2.371.292
30216039;Ruppiner Chaussee 240,268;Haus 09 ;13503;3.208;ja;203;40-50%;1.152.989
30348002;Saatwinkler Damm 1A;Altbau ;13627;3.339;ja;204;20-30%;1.359.594
30195001;Friesenstr. 16;Haus 01 ;10965;3.818;ja;205;40-50%;1.534.209
30445004;Breite Str. 30-37;Haus 04 ;10178;3.994;ja;206;40-50%;1.878.106
30369001;Poststr. 16 ;Haus 01 ;10178;3.461;ja;207;40-50%;1.102.338
30085001;Invalidenstr. 52;Haus 01 ;10557;5.505;ja;208;20-30%;1.795.464
30222001;Alemannenstr. 10;Haus A ;14129;1.774;ja;209;30-40%;703.790
30216040;Ruppiner Chaussee 240,268;Haus 10 ;13503;3.015;ja;210;50-60%;1.474.226
30194006;Charlottenburger Chaussee 67,75;Haus 06 ;13597;1.781;nein;211;50-60%;827.753
30129002;Klixstr. 6-7;Haus 02 ;10823;1.260;nein;212;30-40%;1.243.629
30216038;Ruppiner Chaussee 240,268;Haus 08 ;13503;3.300;ja;213;40-50%;1.167.651
30402009;Dammweg 216;Haus 11 ;12057;294;nein;214;40-50%;226.599
30220005;Wedekindstr. 10;Haus 05 ;10243;3.108;ja;215;40-50%;1.250.293
30195043;Friesenstr. 16;Haus 33 ;10965;4.103;ja;216;20-30%;1.511.549
30196029;Gallwitzallee 87,95;Haus 25 ;12249;1.194;nein;217;> 60%;621.148
30196027;Gallwitzallee 87,95;Haus 23 ;12249;6.242;nein;218;20-30%;3.880.175
30400002;Birkenstr. 11;Haus 02 ;12559;2.056;nein;219;20-30%;2.537.909
30363001;Bussardsteig 9 ;Haus 01 ;14195;1.088;ja;220;50-60%;906.396
30431001;Bismarckstr. 110 ;Haus 01 ;10625;18.256;ja;221;50-60%;11.713.836
30355003;Wallstr. 32;Haus A ;10179;3.756;nein;222;20-30%;1.616.851
30075008;Turmstr. 21;Haus J ;10559;1.430;ja;223;40-50%;474.525
30126002;Haarlemer Str. 27;Haus 02 ;12359;5.159;nein;224;20-30%;3.870.844
30416003;Danckelmannstr. 25-28;Haus 03 ;14059;441;nein;225;40-50%;677.131
30196014;Gallwitzallee 87,95;Haus 11a ;12249;1.185;nein;226;> 60%;746.444
30395009;Osloer Str. 23-26;Haus 09 ;13359;634;nein;227;20-30%;226.599
30207001;Magazinstr. 5;Haus 01 ;10179;8.060;ja;228;10-20%;1.887.436
30194007;Charlottenburger Chaussee 67,75;Haus 07 ;13597;2.232;nein;229;50-60%;1.089.008
30426006;Scharfenberg (Insel);Haus 06 ;13505;1.152;ja;230;50-60%;519.845
30436001;Linienstr. 227 ;Haus 01 ;10178;16.813;ja;231;50-60%;7.539.082
30136001;Peter-Weiss-Gasse 8;Haus 01 ;12627;9.444;nein;232;20-30%;8.168.228
30071001;Tempelhofer Damm 234;Haus 01 ;12099;5.341;nein;233;40-50%;1.762.141
30395006;Osloer Str. 23-26;Haus 06 ;13359;1.052;nein;234;> 60%;550.502
30446001;Friedrichstr. 107 ;Haus 01 ;10117;30.310;ja;235;20-30%;18.650.431
30122003;Dudenstr. 35-37;Haus 03 ;10965;932;nein;236;30-40%;1.363.593
30048001;Magdalenenstr. 25;Haus 01 ;10365;20.634;ja;237;30-40%;10.223.614
30140001;Steinmetzstr. 79;Haus 01 ;10783;6.644;ja;238;30-40%;2.447.269
30210006;Pankstr. 28;Haus 05/05a ;13357;2.920;nein;239;50-60%;1.346.265
30195002;Friesenstr. 16;Haus 02 ;10965;8.480;ja;240;30-40%;3.077.748
30407002;Lobeckstr. 76;Haus 02 ;10969;779;nein;241;40-50%;322.570
30133004;Nonnendammallee 140-143;Haus 04 ;13599;425;nein;242;30-40%;667.801
30186014;Augustaplatz 7;Haus 14 ;12203;6.491;ja;243;30-40%;2.252.661
30186001;Augustaplatz 7;Haus 11 ;12203;6.404;ja;244;30-40%;2.256.660
30056001;Potsdamer Str. 61-65;Haus 01 ;10785;7.272;nein;245;40-50%;4.194.747
30407001;Lobeckstr. 76;Haus 01 ;10969;6.130;nein;246;> 60%;3.953.486
30108001;Turmstr. 91;Haus 01 (A) ;10559;57.125;ja;247;30-40%;21.990.767
30429001;Kühleweinstr. 5;Haus 01 ;13409;26.781;nein;248;40-50%;15.679.318
30195042;Friesenstr. 16;Haus 32 ;10965;4.466;ja;249;30-40%;1.802.129
30355001;Wallstr. 32;Haus C ;10179;3.422;nein;250;50-60%;2.583.229
30407004;Lobeckstr. 76;Haus 04 ;10969;4.238;nein;251;50-60%;1.815.458
30036001;Buschkrugallee 95;Haus 01 ;12359;5.170;nein;252;40-50%;1.900.766
30206001;Lichtenrader Damm 211;Haus 01 ;12305;3.251;nein;253;30-40%;1.296.946
30210004;Pankstr. 28;Haus 03 ;13357;3.262;nein;254;30-40%;2.178.016
30203002;Koenigsallee 75;Haus 02 ;14193;843;nein;255;> 60%;542.505
30186002;Augustaplatz 7;Haus 12 ;12203;1.477;ja;256;30-40%;621.148
30336001;Alt-Treptow 1;Sternwarte ;12435;4.008;ja;257;50-60%;2.271.322
30426001;Scharfenberg (Insel);Haus 01 ;13505;1.607;ja;258;20-30%;339.899
30428001;Schwyzer Str. 6-8;Haus 01 ;13349;20.450;nein;259;40-50%;11.040.703
30204001;Königstr. 5;Haus A ;14163;4.089;nein;260;50-60%;2.811.161
30205006;Kruppstr. 2-4;Haus 06 ;10557;6.285;nein;261;10-20%;1.172.983
30133001;Nonnendammallee 140-143;Haus 01 ;13599;12.201;nein;262;20-30%;5.423.714
30394001;Pappelallee 30-31;Haus 04 ;10437;4.326;nein;263;> 60%;2.198.010
30222003;Alemannenstr. 10;Haus C ;14129;739;ja;264;30-40%;319.904
30287001;Zwickauer Damm 58;Haus 01/ 02 ;12353;3.257;nein;265;40-50%;2.663.205
30184001;Alt-Moabit 145;Haus 01 ;10557;4.987;nein;266;20-30%;2.475.261
30198001;Götzstr. 6;Haus 01 ;12099;3.486;nein;267;50-60%;2.413.946
30362001;Klingelhöferstr. 14 ;Haus 01 ;10785;3.379;ja;268;30-40%;1.090.341
30039002;Fehrbelliner Platz;Haus 02 ;10707;10.799;ja;269;30-40%;4.013.468
30276003;Sewanstr. 262;Haus 01 ;10319;2.686;nein;270;50-60%;1.787.466
30007007;Alt-Friedrichsfelde 60;Haus 06b ;10315;10.597;nein;271;20-30%;6.018.203
